"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11318","📝 Verify Permission Name column is visible","chromium","Fri Aug 29 17:46:24 IST 2025","passed","Fri Aug 29 17:46:36 IST 2025","🛡️ Permissions Management","permission.spec.js","",""
"","10845","✅ Positive Login Flow","chromium","Fri Aug 29 17:46:13 IST 2025","passed","Fri Aug 29 17:46:24 IST 2025","🔐 Login & Logout Functionality","loginFunctionality.spec.js","",""
"","5916","❌ Negative Login - Invalid Email & Password","chromium","Fri Aug 29 17:46:14 IST 2025","passed","Fri Aug 29 17:46:20 IST 2025","🔐 Login & Logout Functionality","loginFunctionality.spec.js","",""
"","20992","✅ Positive: Create Role with valid data","chromium","Fri Aug 29 17:45:00 IST 2025","passed","Fri Aug 29 17:45:21 IST 2025","🆕 Create Role Page","createRole.spec.js","",""
"","14320","✅ Verify Permissions page header is visible","chromium","Fri Aug 29 17:46:22 IST 2025","passed","Fri Aug 29 17:46:36 IST 2025","🛡️ Permissions Management","permission.spec.js","",""
"","12440","⬇️ Sort Users by Name (Descending)","chromium","Fri Aug 29 17:44:30 IST 2025","passed","Fri Aug 29 17:44:43 IST 2025","👥 Browse User Section","browseUser.spec.js","",""
"","10497","🗑️ Verify ""Delete"" icon/button is visible and clickable","chromium","Fri Aug 29 17:47:30 IST 2025","passed","Fri Aug 29 17:47:40 IST 2025","👥 Roles Management","roles.spec.js","",""
"","20124","❌ Negative: Show error when email is invalid","chromium","Fri Aug 29 17:45:53 IST 2025","passed","Fri Aug 29 17:46:13 IST 2025","📩 Invite Management","invite.spec.js","",""
"","8594","📝 Verify ""Edit"" icon/button for a specific role is visible and clickable","chromium","Fri Aug 29 17:47:41 IST 2025","passed","Fri Aug 29 17:47:50 IST 2025","👥 Roles Management","roles.spec.js","",""
"","21561","🔍 Verify Global Search with Partial Match","chromium","Fri Aug 29 17:44:06 IST 2025","passed","Fri Aug 29 17:44:28 IST 2025","👥 Browse User Section","browseUser.spec.js","",""
"","13412","🔄 Reset button clears form fields","chromium","Fri Aug 29 17:46:54 IST 2025","passed","Fri Aug 29 17:47:07 IST 2025","🛡️ Permissions Management","permission.spec.js","",""
"","15686","❌ Should cancel deletion and keep the user in the list","chromium","Fri Aug 29 17:44:44 IST 2025","passed","Fri Aug 29 17:45:00 IST 2025","👥 Browse User Section","browseUser.spec.js","",""
"","5043","⚠️ Missing Password","chromium","Fri Aug 29 17:46:15 IST 2025","passed","Fri Aug 29 17:46:20 IST 2025","🔐 Login & Logout Functionality","loginFunctionality.spec.js","",""
"","22169","⬆️ Sort Users by Name (Ascending)","chromium","Fri Aug 29 17:44:06 IST 2025","failed","Fri Aug 29 17:44:28 IST 2025","👥 Browse User Section","browseUser.spec.js","",""
"","14838","➡️ Should navigate to the next page and back","chromium","Fri Aug 29 17:44:43 IST 2025","passed","Fri Aug 29 17:44:58 IST 2025","👥 Browse User Section","browseUser.spec.js","",""
"","19336","❌ Negative: Create Role without selecting Permission","chromium","Fri Aug 29 17:45:16 IST 2025","passed","Fri Aug 29 17:45:35 IST 2025","🆕 Create Role Page","createRole.spec.js","",""
"","15340","➕ Create a new permission","chromium","Fri Aug 29 17:46:36 IST 2025","passed","Fri Aug 29 17:46:52 IST 2025","🛡️ Permissions Management","permission.spec.js","",""
"","9166","✅ Verify Roles page header is visible","chromium","Fri Aug 29 17:46:59 IST 2025","passed","Fri Aug 29 17:47:08 IST 2025","👥 Roles Management","roles.spec.js","",""
"","12581","✅ Check Setting button Clickable","chromium","Fri Aug 29 17:44:31 IST 2025","passed","Fri Aug 29 17:44:43 IST 2025","👥 Browse User Section","browseUser.spec.js","",""
"","19273","❌ Forgot Password - Invalid Email","chromium","Fri Aug 29 17:46:21 IST 2025","failed","Fri Aug 29 17:46:40 IST 2025","🔐 Login & Logout Functionality","loginFunctionality.spec.js","",""
"","16659","🗑️ Delete permission","chromium","Fri Aug 29 17:46:37 IST 2025","passed","Fri Aug 29 17:46:54 IST 2025","🛡️ Permissions Management","permission.spec.js","",""
"","13989","⬆️ Verify Sort by Role Name (Ascending)","chromium","Fri Aug 29 17:47:10 IST 2025","failed","Fri Aug 29 17:47:24 IST 2025","👥 Roles Management","roles.spec.js","",""
"","15696","🔍 Verify Global Search with Partial Match","chromium","Fri Aug 29 17:47:08 IST 2025","passed","Fri Aug 29 17:47:24 IST 2025","👥 Roles Management","roles.spec.js","",""
"","19581","❌ Negative: Show error when role is missing","chromium","Fri Aug 29 17:45:52 IST 2025","passed","Fri Aug 29 17:46:12 IST 2025","📩 Invite Management","invite.spec.js","",""
"","34897","❌ Negative: Create Role with blank Role Name","chromium","Fri Aug 29 17:45:00 IST 2025","broken","Fri Aug 29 17:45:35 IST 2025","🆕 Create Role Page","createRole.spec.js","",""
"","17403","🔄 Reset button clears fields","chromium","Fri Aug 29 17:45:04 IST 2025","passed","Fri Aug 29 17:45:21 IST 2025","🆕 Create Role Page","createRole.spec.js","",""
"","21914","⚠️ Search for non-existing user","chromium","Fri Aug 29 17:44:06 IST 2025","passed","Fri Aug 29 17:44:28 IST 2025","👥 Browse User Section","browseUser.spec.js","",""
"","12642","✅ Verify Invite page header is visible","chromium","Fri Aug 29 17:45:23 IST 2025","passed","Fri Aug 29 17:45:35 IST 2025","📩 Invite Management","invite.spec.js","",""
"","17169","♻️ Reset button clears form fields","chromium","Fri Aug 29 17:45:55 IST 2025","passed","Fri Aug 29 17:46:13 IST 2025","📩 Invite Management","invite.spec.js","",""
"","11600","🔍 Verify Pagination Next & Previous","chromium","Fri Aug 29 17:46:24 IST 2025","passed","Fri Aug 29 17:46:36 IST 2025","🛡️ Permissions Management","permission.spec.js","",""
"","14220","➡️ Verify pagination: Next and Previous buttons","chromium","Fri Aug 29 17:47:25 IST 2025","passed","Fri Aug 29 17:47:39 IST 2025","👥 Roles Management","roles.spec.js","",""
"","15566","⬇️ Verify Sort by Role Name (Descending)","chromium","Fri Aug 29 17:47:13 IST 2025","passed","Fri Aug 29 17:47:28 IST 2025","👥 Roles Management","roles.spec.js","",""
"","14708","⏸️ ""Previous"" button should be disabled on the first page","chromium","Fri Aug 29 17:44:44 IST 2025","passed","Fri Aug 29 17:44:59 IST 2025","👥 Browse User Section","browseUser.spec.js","",""
"","21927","✅ Verify Global Search with Exact Match","chromium","Fri Aug 29 17:44:06 IST 2025","passed","Fri Aug 29 17:44:28 IST 2025","👥 Browse User Section","browseUser.spec.js","",""
